source,theme,keyword,momentum_score,observed_at,notes
instagram_saves,food,budget weeknight dinners,0.91,2026-04-09,consistent save rate across UK food accounts
instagram_saves,food,£3 dinner ideas,0.88,2026-04-09,price-point hooks performing strongly
instagram_saves,food,one pan weeknight meals,0.85,2026-04-09,low-effort angle drives saves
instagram_saves,food,simple grocery swaps,0.90,2026-04-09,swap format carousels getting high share rates
instagram_saves,food,supermarket own-brand dupes,0.87,2026-04-09,branded vs own-brand comparison posts viral
instagram_saves,food,freezer meal prep,0.80,2026-04-09,batch cooking save-first content trending
instagram_saves,food,cheap family meals under £5,0.83,2026-04-09,family budget angle resonating
instagram_saves,lifestyle,Sunday reset routine,0.86,2026-04-09,sunday ritual content spiking weekly
instagram_saves,lifestyle,tiny Sunday habits,0.79,2026-04-09,low-effort reset angle outperforming aspirational
instagram_saves,lifestyle,weekly reset checklist,0.77,2026-04-09,list format getting strong saves
instagram_saves,food,10 grocery swaps that save £20,0.92,2026-04-09,number-led swap content highest saves this month
instagram_saves,food,meal plan on £30 a week,0.84,2026-04-09,budget meal planning content steady growth
